firstName,middleName,lastName,suffix,aliasFirstName,aliasMiddleName,aliasLastName,aliasSuffix,dob,pobCountry,pobState,pobCity,pobCounty,sex,race,ssn,hairColor,eyeColor,height,weight,street1,street2,city,state,postalCode,country,homeTelephone,businessTelephone,mobileTelephone,pagerTelephone,faxTelephone,email,citizenship,naturalizationDate,passportCountry,passportNumber,passportType,visaNumber,visaType,visaClassOfAdmissionClassificationCode,birthAbroadCertificationId,certificateOfCitizenshipNumber,alienNumber,i94ArrivalDepartureFormNumber,certificateOfNaturalizationNumber,ds1350CertificationOfBirthAbroad,citizenshipCertificateId,admissionId,employerName,employerStreet1,employerStreet2,employerCity,employerState,employerPostalCode,employerCountry,employerEmail,employerTelephone,employerPOC,caseProgram,caseSubprogram,airportCode,fingerprintFileName,fingerprintCaseNumber,badgeId,badgeIssueDate,badgeExpirationDate,badgeAirportCode,badgeLocalType,badgeArea,badgeAccessSIDA,badgeAccessSterileArea,badgeAccessAOA,badgeAccessSecured,badgeAccessPublicArea,badgeAccessRT,badgeStatus,badgeChangeReason 
JAMEY,DARREN,KALISH,VIII,KENNITH,,AGEMY,II,05/23/1921,LBN,,,,M,B,283957435,BRY,BLU,44,865,5393 MELHORN RD,,Lenexa,WY,23035,BWA,801-489-3218,(437)9504564,(607)6004941,6882795874,(302)5296976,JAMEY.KALISH1921@PCIH.NET,USA,,USA,5155072025,D,,,WUNTIEZ442,,,,,,,,,Sansa Regional,1463 PLEASANT,,Elk Grove,IN,48573,LKA,PAT BOZEK@Sansa Regional.NET,(327)8343388,PAT BOZEK,AW,FPO,OXR,JAMEY_KALISH_HE32BW.eft,,6HY1I,09/26/2003,09/26/2004,QCN,Contractor,Baggage Handling,True,False,False,False,False,False,R,Lost
BERRY,,WHISTLEHUNT,,GEORGE,,BLAISE,VI,10/27/1947,UGA,,,,U,W,583374370,BRY,PNK,43,770,9345 RALEIGH WAY,,Beverly,KY,78901-2193,TWN,(235)3130947,6152689597,839-923-6833,562-721-4274,654-229-2270,BERRY.WHISTLEHUNT1947@OOFD.ORG,USA,,USA,2712575257,D,,,JPPSWFBKNT,,,,,,,,,Rockwell Automation,4803 FOXGROVE,APARTMENT 331,Rancho Cordova,MI,99982,BIH,RAMON KOWALSKI@Rockwell Automation.EDU,668-635-8142,RAMON KOWALSKI,GA,DCM-PFP,BFL,,FAKE510333,,,,,,,,,,,,,,
LEISA,,LONEY,,ORALIA,,BEDE,JR,06/21/1950,USA,WV,Salem,,F,A,355958929,PNK,PNK,39,1381,8996 KENTUCKY OAKS,,Bloomington,TX,56023,SGS,(871)3585765,(493)4690598,4837943009,9112094784,(456)9740737,LEISA.LONEY1950@KYYP.CO.UK,USA,,USA,3927661048,D,,,FBWHU5FBQ2,,,,,,,,,Air Sahara,9484 OAKLEAF,,Decatur,AZ,24091,YEM,GERRY OZAKI@Air Sahara.GOV,(728)2889129,GERRY OZAKI,GA,MDW-FP,ROC,,,,,,,,,,,,,,,,
FREDERIC,,RESNER,,GORDON,,MOHEAD,SR,11/22/1933,CYP,,,,M,B,422671919,BLN,GRN,89,1249,7822 STONEBRIDGE,APARTMENT # 306,Murfreesboro,WI,37433,PSE,(934)8097155,3566441888,(884)2222986,595-820-2710,6129913938,FREDERIC.RESNER1933@STKE.NET,USA,,USA,7139697111,P,,,BK1ZCTPNTW,,,,,,,,,Burger King,4414 CONCERTO WAY,,Coral Springs,MO,41394-8995,BFA,SALVATORE LOBACH@Burger King.GOV,(813)6352024,SALVATORE LOBACH,GA,TFS-PFP,HIB,,FAKE474657,,,,,,,,,,,,,,
LEONARDO,RENATO,EGEL,VIII,DWAIN,GREG,LASPINA,,04/22/1946,USA,DE,Troy,,M,W,520014469,XXX,PNK,49,63,2168 GLEN VIEW PLACE,APT 403,Napa,CO,85427-9006,MDA,(536)8295083,(551)5866438,(671)6339775,(796)4785312,(210)4787019,LEONARDO.EGEL@BAWH.CO.UK,USA,05/21/1963,MDG,5136644327,P,XUBSGSF,O-1,EZ0BGMSP8T,OYESD4H05Y,MPPC53KW,,,89CR381LR,783WS4,WARGYW7WOS,AOEPLTCN,ICL-Israel Chemicals,5676 LEIER PLACE,SUITE # 18,Kokomo,WY,60949-4688,RUS,SUNG VILLOT@ICL-Israel Chemicals.EDU,3993469503,SUNG VILLOT,AW,FPO,HTS,LEONARDO_EGEL_KR5J38.eft,,CIK21,08/21/2001,08/21/2002,TQS,Black,Concourse B,True,False,True,True,False,False,A,
FERN,,ZITZLOFF,,CHRYSTAL,LYDA,BRUNSCHEEN,,05/22/1904,USA,HI,Olympia,,F,W,631346228,BLK,PNK,64,176,114 MISSISSIPPI HWY,APT 24,Huber Heights,CT,35950,PER,(706)7453690,930-667-9831,3322983657,9649941062,(716)5361614,FERN.ZITZLOFF1904@FGLP.EDU,USA,,USA,7887342072,P,7XWO753,B33,W2YASM25ZM,1BXDAA7F0X,1BSIEJ9M,,,1XU7FM68V,HDC8GX,I1G2WJZN0E,7K01D0UY,Cyprus Turkish Airlines,4854 TORTUGA PL,APT # 19,Hazelwood,MI,43746,SWZ,CHADWICK FREDENBURG@Cyprus Turkish Airlines.CO.UK,2894346728,CHADWICK FREDENBURG,ACP,FPO,TAL,FERN_ZITZLOFF_3NGIL2.eft,,DX2GN,03/21/2007,03/21/2008,YQJ,Yellow,Baggage Handling,True,True,False,False,False,False,NI,Hiring Decision
JENINE,,PLACHECKI,,ELMA,,ODAIR,,11/22/1988,USA,VA,Pekin,Albany county,F,U,254714345,ONG,GRN,98,1306,6483 MERRITT ROAD,,Tulare,PA,40987,VEN,8905648385,346-310-2037,5297090942,(932)9581702,(335)4899238,JENINE.PLACHECKI@HVKO.COM,USA,03/22/2003,USA,7999034317,D,455PWII,B25,RKY1DU3B91,4GOT1M89SP,87YGVQHK,,,AQQU1305F,Y6WNKE,RF3YG5JJ7W,VFIW88SS,Southwest Airlines,7841 WINDROW STREET,ROOM # 135,Littleton,RI,97031,DEU,BROCK WOLLSCHLAGER@Southwest Airlines.EDU,(696)5058845,BROCK WOLLSCHLAGER,GA,PCS-FP,MKT,,,,,,,,,,,,,,,,
JEFFREY,LUIS,FEIN,II,ARTHUR,,ALVIDREZ,,05/27/1977,NCL,,,,M,I,307898390,BLU,BLU,66,1060,3582 CASLAM ST,,Winston-Salem,WI,70581,BEL,(910)2648175,3215173402,(257)3117255,611-215-2208,8416295451,JEFFREY.FEIN@DXLA.ORG,ATG,,MTQ,7101777472,D,SUF99RQ,FX1,USS7XPVWJT,TFYBBCYCYA,LOB4KY86,A338378807,33787257156,L961INLAP,39QF95,9VOFEXZOQ6,B1TMRC0H,Dragonair,8284 MILLAY,,Morgan Hill,ME,62042,SGS,SAMMY NIPPER@Dragonair.ORG,(577)2789407,SAMMY NIPPER,AW,FPO,YSJ,JEFFREY_FEIN_L7UYXC.eft,,,,,,,,,,,,,,,
BRENTON,JACK,WAHLERS,,DARWIN,BRAD,CONWAY,,02/23/1973,USA,DE,Smyrna,,U,A,465539827,GRN,MUL,40,1077,4653 BLUE WATER HWY,,Gaithersburg,NH,34052,HRV,(412)9583433,3393518740,(332)7084629,(787)4575352,3977679265,BRENTON.WAHLERS@IAYR.ORG,USA,,DEU,9658999000,M,ROJ55IU,SE-2,IJTAWUI2IE,YAQLDJ5HSY,QGQMFCFN,,,47BRA6Q0P,YZQTZT,INR9SG8R7I,9B3GM7CN,Danaher,3416 QUAIL HOLLOW,,Rohnert Park,UT,20752,SEN,OTHA SCORCA@Danaher.EDU,318-277-9716,OTHA SCORCA,ACP,FPO,MWH,BRENTON_WAHLERS_M4ESZI.eft,,YNLHZ,06/27/2005,06/27/2006,ABB,Blue,Tarmac,True,True,False,False,True,True,P,
ROMEO,ALONZO,DINARDI,IX,RICK,,DEBOE,,04/27/1948,USA,AR,Poughkeepsie,Reno county,M,A,642902837,RED,BLK,72,850,1818 SCIENTIFIC RD,APARTMENT # 492,Rocky Mount,FL,96174-8134,TKL,398-728-4196,600-489-4986,(477)6388446,940-823-4596,877-260-9081,ROMEO.DINARDI1948@QWXZ.CO.UK,USA,11/25/1977,USA,4132399787,D,,,21F25FACZO,,,,,,,,,Subway,8908 SOUTHOLME PL,,Vacaville,GA,25430-4037,NCL,JEFFERY MOTL@Subway.GOV,5577618350,JEFFERY MOTL,GA,PCS-FP,ADK,,,,,,,,,,,,,,,,
KAREEM,YOUNG,WINDLER,,ELROY,,KHARE,,05/23/1908,USA,MS,Miami Gardens,,M,B,511250329,GRN,XXX,35,891,5743 MACGLASHAN,SUITE 333,Moline,ID,99942,GRL,(497)6200799,240-873-8949,2863633680,5035441301,9269701512,KAREEM.WINDLER@XASJ.NET,USA,,USA,2524776513,M,,,9KUSQP60RZ,,,,,,,,,McDonald's,8928 TINA LOUSE HWY,,Rocklin,MN,39076,THA,AHMED FUTCH@McDonald's.EDU,275-624-8798,AHMED FUTCH,ACP,FPO,YZG,KAREEM_WINDLER_FV6Y8C.eft,,EAAIP,11/24/2001,11/24/2002,PVV,Red,Concourse B,False,False,False,False,False,False,S,Employer Direction
WYNONA,,FOULES,II,GWENDA,JANICE,LOUVIERE,,02/26/1969,USA,KS,Gladstone,,F,U,546153806,ONG,GRN,44,633,2237 UPLAND ROAD,,Akron,MD,44295,ARE,737-649-2897,(621)4049055,(245)2808426,357-430-5994,(391)6735817,WYNONA.FOULES1969@MSKG.NET,USA,,USA,7121109667,P,,,XUAZMC5TA5,,,,,,,,,Ryanair,8596 BUNKER HILL PL,SUITE # 155,Germantown,SC,46621,SJM,DONOVAN BUN@Ryanair.NET,(280)4218671,DONOVAN BUN,GA,DCM-PFP,YVB,,FAKE598349,,,,,,,,,,,,,,
WARNER,ISAIAH,MOLLE,,CHANG,,COKINS,,03/21/1926,USA,NH,Shreveport,,M,A,565225548,GRN,XXX,92,921,1612 SORREL GROVE STREET,APARTMENT 468,Pittsburg,SD,32731,SUR,389-367-6724,6656084836,473-885-5671,4709484606,573-446-3569,WARNER.MOLLE1926@DPWO.CO.UK,ARG,,USA,6591799679,P,,,Y4IA1J7HK7,,,A260637891,34011511122,,,,,SAP,8476 COLCHESTER WAY,SUITE 425,Raleigh,AZ,39721,SGP,BENNY HUNTSBERGER@SAP.CO.UK,9164061901,BENNY HUNTSBERGER,GA,TFS-PFP,BRO,,FAKE249644,,,,,,,,,,,,,,
MIGUEL,,DAZI,,WILFREDO,,REPPUCCI,,06/21/1931,USA,SD,Paducah,,M,B,230506907,BLK,BRO,73,709,475 ASHBURN VILLAGE ST,,Easton,MA,32565-9778,GUF,(587)6617762,8916586086,8552648140,7235665551,(613)6514098,MIGUEL.DAZI1931@KCHS.EDU,NRU,,NRU,4803540080,M,1Y0JJRE,BX2,C4QBPAI8N4,R62TALFDG0,WE2IYVPK,A360207334,38930573556,TGFH9L9CU,E61U39,902F35UMSG,KYM2YCAB,Dragonair,7518 CLARY PL,APARTMENT 397,Shawnee,OR,30831,KAZ,DUDLEY OLIS@Dragonair.NET,278-430-8811,DUDLEY OLIS,AW,FPO,YRA,MIGUEL_DAZI_ZBHSL0.eft,,MRAN1,04/27/2001,04/27/2002,RPZ,Contractor,Tarmac,True,True,True,False,True,True,S,Employer Direction
CHARLES,,CONNIE,,SPENCER,,KEPKE,,07/26/2003,VUT,,,,M,A,393844822,BRO,PNK,86,99,3789 FAWNGROVE HIGHWAY,,Monterey,WA,21244,SGP,3232744989,(877)7370845,8177447553,9963069366,8205167760,CHARLES.CONNIE2003@BMAT.NET,LCA,,USA,3768574815,P,,,URX4TZ4ZZT,,,A608978904,88353168053,,,,,CA,60 30TH HWY,,Waterbury,MI,54914,COM,FERDINAND MADOR@CA.ORG,542-389-5221,FERDINAND MADOR,AW,FPO,KWT,CHARLES_CONNIE_VOEG3Q.eft,,K0C14,10/23/2010,10/23/2011,MPT,Security,Baggage Handling,True,False,False,False,False,True,S,Employer Direction
ANDY,RODRIGO,SOENKSEN,,GABRIEL,,VARONE,,02/23/2002,USA,UT,Garfield,,U,W,522717526,GRN,XXX,42,457,1073 BUILDERS HWY,ROOM 430,Los Altos,WV,87510,THA,(679)3103565,(656)5290420,8493017249,350-339-6938,5122421410,ANDY.SOENKSEN2002@AEEJ.GOV,GTM,,USA,3759236972,D,,,TCFDAQIE4S,,,A235385777,48691238696,,,,,Fanuc,300 ROCK COVE PL,,Bristol,MN,24786-5678,DZA,ANDRE AYRE@Fanuc.CO.UK,7972406662,ANDRE AYRE,AW,FPO,ABE,ANDY_SOENKSEN_8BZRK7.eft,,CSGLW,09/26/2003,09/26/2004,NAE,Security,Ticketting,True,False,True,False,True,True,P,
JAMMIE,,HAYHURST,VI,ZENAIDA,,LOR,IV,10/22/1994,USA,VA,Denton,Pawtucket county,F,I,317310623,SDY,MAR,94,414,2821 ROLLING RANCH,,Mesquite,NM,43694,GNB,(647)8419319,(508)5936998,5203538479,(667)4118370,(286)2175214,JAMMIE.HAYHURST@QIOR.GOV,USA,,PRY,2122581794,M,0R2EEYL,SD-2,RLY5W192Z3,KG7P2689VZ,SDC7MJNH,,,X22ARPLZ0,22NF9M,RFG7V9TJ4X,VL8JLYOJ,HTC Corp,3132 COURTLAND BOULEVARD,APARTMENT 201,Rohnert Park,MI,76903-3531,PNG,KENETH SEWARD@HTC Corp.COM,480-666-6178,KENETH SEWARD,GA,DCM-FP,YBV,,,,,,,,,,,,,,,,
STANTON,,HASPER,,GLEN,,TOWNS,VIII,05/27/2004,SHN,,,,U,U,567312902,ONG,BRO,34,276,4052 YELLOWBLOOM WAY,,Mishawaka,UT,45680-5472,LSO,8135563511,9499198535,872-695-7266,(515)9643931,3667393815,STANTON.HASPER@CCZQ.GOV,USA,,USA,4722201113,P,B0OOY5L,SM-2,DT4JOXQ8U7,T54SDGIPBL,ZDN2MFJ1,,,RKGSXQ2MS,PQZV3U,HK40YA4DF0,7ABT6ALQ,Terumo,1824 ICE POND ROAD,ROOM # 263,Salinas,VA,37068-9714,TGO,LEE MULCH@Terumo.GOV,5707046652,LEE MULCH,GA,DCM-PFP,JNU,,FAKE638165,,,,,,,,,,,,,,
MIKEL,,KNUTH,,TIMOTHY,,LOOCK,VII,03/26/1924,USA,AK,Boston,Albany county,M,A,203428651,PLE,MUL,53,1321,8674 GLOUCESTER,SUITE # 423,Pocatello,ID,56407-9080,LAO,3328552810,558-241-3560,(846)9030251,4329784266,546-615-7350,MIKEL.KNUTH@WLLW.CO.UK,BRA,,BRA,7056739238,P,WMI5NEK,I51,47LC546WJM,6POMA2BKM7,1CJLS58G,A765389533,83676291779,C42PY46BE,2NV33Y,OSSMIHN1GM,7QGJH2HD,Trans States Airlines,7522 DUBOIS,SUITE # 407,Elk Grove,FL,70142,GHA,KRAIG KIEDROWSKI@Trans States Airlines.NET,433-361-2388,KRAIG KIEDROWSKI,GA,DCM-PFP,PLB,,FAKE300031,,,,,,,,,,,,,,
SHERILL,LAWANA,BRONG,VIII,LOURIE,,DAGLEY,,08/27/1901,USA,FL,Huntington Park,Wichita Falls county,F,U,291761301,BRY,BRO,85,496,6728 BANSON BLVD,,West New York,VT,22989-4538,ATA,9144643008,6293048900,791-204-5332,4842350376,(518)8270094,SHERILL.BRONG@IDHG.ORG,USA,,USA,7059107284,P,W2Y4UL2,P-3,Z6WDU6KO7M,30JFUYYXN3,9RVX82R5,,,0B7OJ0TI3,C2CJJQ,3WNAQV7ESU,1EMXLNGH,Emerson Electric,9832 SANTO HIGHWAY,APT # 9,Harrisburg,MO,31250-3244,MKD,FRANK ISHEE@Emerson Electric.COM,265-310-3145,FRANK ISHEE,ACP,FPO,DVL,SHERILL_BRONG_IIEQYX.eft,,AALE1,06/21/2005,06/21/2006,LNZ,Security,Baggage Handling,False,False,True,False,True,True,S,Employer Direction
MAC,DWAIN,GERNER,,CHANG,,KARLEN,,08/25/1902,USA,ME,Battle Creek,,M,U,467425875,WHI,BRO,79,277,4487 PALA MESA BOULEVARD,,Lancaster,MI,21199,SWZ,483-597-3880,517-410-9693,9813644395,264-852-7434,650-513-6736,MAC.GERNER1902@IPXN.ORG,USA,11/21/1973,USA,6642479511,M,SUELZT9,B24,R6NYFMVWVP,77R1KDVUTB,P2D4QLC6,,,OENMVJFIC,31YK2P,HSQLEAD5UI,V73UV9NT,Rolls-Royce Holdings,2908 SAINT HELENA BLVD,,Marietta,OH,47679-4709,BRB,GREGORIO BUTTERWORTH@Rolls-Royce Holdings.EDU,6306763577,GREGORIO BUTTERWORTH,AW,FPO,GLH,MAC_GERNER_IW8F7I.eft,,,,,,,,,,,,,,,
RUPERT,LEONEL,KNEESKERN,,ELROY,EZRA,COOKE,,06/26/2000,USA,IL,Marion,Mankato county,M,W,527811475,BRO,BLK,59,851,3781 REMONT,SUITE 210,Sterling Heights,FL,45847,ARG,6406890974,577-916-2083,737-289-9848,408-745-6847,(853)4896274,RUPERT.KNEESKERN@DLRC.COM,THA,,USA,9784052344,D,,,SAHTY0TPWO,,,A745612485,61707700402,,,,,CA,3124 BARLEY BOULEVARD,OFFICE # 213,Draper,CA,50842,HND,ROMEO ROSEBROCK@CA.NET,3688556185,ROMEO ROSEBROCK,ACP,FPO,DLH,RUPERT_KNEESKERN_EE0CPA.eft,,QVXXE,02/26/2005,02/26/2006,BHF,Security,Concourse A,True,True,True,False,True,True,NI,Hiring Decision
SEYMOUR,JAKE,MAHARREY,,WAYNE,ED,BRUNEAU,,11/24/1978,IRN,,,,U,I,209086787,BLU,MAR,106,1235,3090 TREMONT RD,APT # 149,Cleveland,WV,20902,GIB,356-953-9971,(497)8990331,7204605032,886-523-4515,3596675144,SEYMOUR.MAHARREY1978@KVRA.CO.UK,USA,,USA,2363313107,D,F1BZSX5,E34,9PFPICFWVE,QP2A5AI0ZS,HS971W9U,,,VWP1U03TV,I7W4TJ,2QMJ1AHGDQ,HC706J06,Air Sunshine,4302 RUFFSDALE,APARTMENT 372,Plum,ND,85889-2673,ECU,CYRUS DEAVILLE@Air Sunshine.NET,(357)8835472,CYRUS DEAVILLE,GA,TFS-PFP,HYA,,FAKE837043,,,,,,,,,,,,,,
DOMINIC,,SCHWORM,I,SANTIAGO,,WEISENFELS,,05/25/1904,USA,MN,Monroe,Huntington Park county,U,B,565706238,BLU,MUL,88,96,656 JURICH,,Moorhead,NY,90523,PNG,321-401-6898,422-445-6098,7627684409,(325)5204719,7352320135,DOMINIC.SCHWORM1904@GGUA.COM,USA,,GUM,7338074087,P,X5U5F53,SM-1,A0W8BDR0KF,3YRJG9OE3V,LQ1MVFOL,,,KVVXWEC6A,XX6LC7,SO14X1Z6NO,DZLCG4OS,Maroc Telecom,1184 28TH HWY,APT # 326,San Angelo,OK,21033,COD,RICKEY SAINZ@Maroc Telecom.GOV,421-515-9567,RICKEY SAINZ,GA,TFS-PFP,CYS,,FAKE868361,,,,,,,,,,,,,,
WILTON,TED,KABACINSKI,,MOSHE,,LURIA,IX,06/21/1969,USA,OK,Canton,,M,I,512039589,BRO,BLU,27,631,6377 OAKMONT MANOR,SUITE 291,Duluth,MS,61442,WSM,3302736916,287-499-3660,6527603434,847-397-8313,(848)6162142,WILTON.KABACINSKI1969@CZFS.GOV,USA,08/22/1999,USA,3703848535,P,17SX34W,F24,SIKURPAS6L,JSYERG434Z,5LH6WPQ0,,,C54KY7MMX,XVAD8H,PFZVJ95M0T,PTCVVCQU,SAP,7913 SMOKEHOUSE,ROOM 105,New Berlin,MI,22683-5661,ESP,DONNY ASTLEY@SAP.CO.UK,(262)6976674,DONNY ASTLEY,AW,FPO,YZS,WILTON_KABACINSKI_S6A0F7.eft,,CI173,05/21/2001,05/21/2002,FLS,Yellow,Baggage Handling,False,True,False,False,False,False,I,Leave of Absence
MAXIMO,BURL,FIALKOWSKI,,RICKY,RODOLFO,SCHIVER,,10/27/1930,USA,NC,Missouri,,U,B,378787370,BRY,BLK,48,958,3047 TEXAS WAY,,Elizabeth,IA,29149,SEN,4946508867,5894477146,724-377-9093,(522)3565411,(404)3324033,MAXIMO.FIALKOWSKI@PUJT.NET,USA,06/25/1941,USA,9361795403,D,FBI1VVI,V-3,093F6AZK85,OC7HFJV5EB,3FVTNKIP,,,5A6B4LY0Q,BA6OXF,GJCEVBGNYY,JAQ8HI0B,Kone,4206 JANELIA,,Norman,MT,62847,KGZ,CLEO MCELDERRY@Kone.EDU,6043481421,CLEO MCELDERRY,AW,FPO,YOO,MAXIMO_FIALKOWSKI_LHHR00.eft,,KIGN4,02/25/2008,02/25/2009,UQD,Black,Food Court,False,True,True,False,False,True,P,
LORALEE,,STRUCK,,KEVA,,LONGIOTTI,SR,10/27/1917,USA,WA,Durham,,F,U,226241770,BRY,PNK,39,87,9434 TREMONT PL,,Youngstown,FL,54251,MYS,374-581-8925,456-605-6794,254-369-3814,(585)9955339,631-568-7377,LORALEE.STRUCK1917@DFLN.GOV,USA,04/21/1947,USA,3159520154,D,,,NRWB1WK93R,,,,,,,,,Turkish Airlines,5537 POPLAR HIGHWAY,,Riverton,ID,52371,UKR,RUBEN KOBA@Turkish Airlines.GOV,2038307372,RUBEN KOBA,AW,FPO,XZB,LORALEE_STRUCK_EMMBD5.eft,,BQXA1,08/23/2003,08/23/2004,UAH,Contractor,Terminal 2,True,True,False,True,False,True,NI,Hiring Decision
ROSELLE,GOLDIE,SURFACE,IV,AUDRY,HENRIETTA,JORDAHL,,07/23/1938,MWI,,,,F,U,237376831,SDY,BRO,94,1275,442 KIAWAH ISLAND RD,,Fair Lawn,GA,20825-6364,BLZ,8252408434,(253)5494680,5096478890,(243)5054125,229-861-8714,ROSELLE.SURFACE1938@ECEX.COM,USA,,USA,4900966992,M,82A0MLJ,F12,3RNINV8AB0,M7IKSO69EP,CDSMIJN8,,,0K488PMPD,VXGX6G,V7RB90AUXF,E5LI2A3Q,Fanuc,473 AKRON HWY,OFFICE # 208,Independence,CA,66653-5185,PSE,JOEY LARZELERE@Fanuc.EDU,280-973-5939,JOEY LARZELERE,GA,DCM-PFP,MSL,,FAKE446545,,,,,,,,,,,,,,
JANITA,,STAHL,IX,BRANDIE,,GAROFANO,,07/22/1963,USA,CT,Vista,,F,U,540614844,BLN,PNK,71,547,3228 ARROWOOD,,Gadsden,OR,61474,WLF,(740)4535300,3873084981,695-743-5466,9407281094,(457)9378563,JANITA.STAHL@SHLX.GOV,USA,09/23/1984,IRQ,3557851972,M,EI6A8QG,C-3,MR9GL2JGE0,U47AU1EAXG,4DUN9MD5,,,V97SDC5G1,TI8D91,K0NM6YAHNW,0DIBOYWC,Apple,2188 JARVIS,SUITE 326,South San Francisco,MT,61506-2516,BFA,DARREN COPEN@Apple.NET,(776)5876476,DARREN COPEN,GA,MDW-PFP,XFQ,,FAKE828170,,,,,,,,,,,,,,
DANI,,MCAFFEE,,CHASTITY,LIZETTE,MCLAEN,,07/21/2000,USA,CA,Las Vegas,Monroe county,F,U,247721957,SDY,PNK,103,141,4875 WHITE PINE BOULEVARD,APT # 15,Charleston,MD,95336-9336,SPM,753-865-6788,(679)2372291,(878)8808677,(369)5555160,3417849760,DANI.MCAFFEE2000@NRID.NET,USA,09/25/2008,USA,6216430853,M,9IA34TC,EW5,0EIIW5CTHA,A6H5JF1ON2,Z1NCJY5K,,,TN5JWSSKM,0Z8ZQN,N6O2G7WFJB,TVTWGYQJ,Air Jamaica,2061 ASHBURN,,West Valley,LA,57569,GRD,WILLIAMS MULLIKIN@Air Jamaica.CO.UK,682-221-8688,WILLIAMS MULLIKIN,ACP,FPO,XFQ,DANI_MCAFFEE_N3E7GT.eft,,,,,,,,,,,,,,,
LI,,TYKSINSKI,,STEFANY,,HARRING,,08/27/1930,USA,MN,Park Ridge,,F,U,556698066,RED,PNK,101,1158,8953 BARLEY RD,APT # 292,Lake Elsinore,AL,81199,BOL,2183922620,6343510558,3083351893,202-332-7122,2964981816,LI.TYKSINSKI1930@BAOT.GOV,USA,06/22/1966,USA,8679402816,D,,,OE15L4RBN8,,,,,,,,,Linear Air,1330 BROCK STREET,OFFICE 170,Fremont,NH,36212-2091,PLW,VIRGILIO SATAWA@Linear Air.EDU,458-296-9692,VIRGILIO SATAWA,ACP,FPO,YQL,LI_TYKSINSKI_XESALA.eft,,,,,,,,,,,,,,,
KORY,MAURICIO,ROSALES,,KENT,,BLACKFORD,JR,07/24/1953,USA,CT,Daly,,U,I,379282059,BLN,GRN,35,548,9894 HOLLYTREE PL,ROOM # 457,Glendale Heights,NJ,56688,NAM,9635482273,705-945-3883,257-526-9992,4635198491,485-887-6789,KORY.ROSALES@HNSQ.NET,USA,,USA,7269304076,D,,,G1H8RMWN7Q,,,,,,,,,Saudi Arabian Airlines,3816 GROVE HIGHWAY,OFFICE 137,Northbrook,WV,61438-9040,FSM,PATRICK GORENCE@Saudi Arabian Airlines.COM,235-263-8074,PATRICK GORENCE,ACP,FPO,WHH,KORY_ROSALES_0R49Z0.eft,,N4EN0,03/26/2008,03/26/2009,JCE,Black,Concourse A,True,False,True,True,False,True,R,Resignation
LYNWOOD,,LABONVILLE,,TUAN,DONALD,CLINTON,,05/25/1964,USA,MA,Bettendorf,,M,I,526286283,BLK,BRO,103,885,5789 MEADOWLARK,,Scottsdale,MO,23241,LKA,829-977-4951,555-937-2006,(731)8342046,290-869-5019,385-415-6991,LYNWOOD.LABONVILLE1964@KROF.GOV,USA,06/22/1992,USA,7835621580,P,,,SBAL7A2846,,,,,,,,,Praxair,9448 26TH,,Farmington Hills,AZ,82116,KIR,FAUSTO SHOAF@Praxair.GOV,6596478815,FAUSTO SHOAF,ACP,FPO,YBZ,LYNWOOD_LABONVILLE_0LRSBY.eft,,WCL1S,05/22/2000,05/22/2001,BFE,Contractor,Terminal 1,True,True,False,False,False,False,S,Employer Direction
EMILY,USHA,BROERING,,ALIA,,BOCHENSKI,,09/21/1928,USA,ME,Rocklin,,F,U,320781192,WHI,MAR,83,1290,4514 HORNDEAN,,Cupertino,AL,86365-4244,GMB,918-883-9047,5132499360,(532)8326045,9429785652,(759)3898736,EMILY.BROERING@NFSQ.COM,USA,05/27/1962,USA,5723222962,M,KSFZV06,I53,0QDNTDVV3P,GFKNJTJNGQ,QVKFHDQU,,,KI95C7MEH,HU0NIA,PRM9T16GW9,7OH1QL30,Garuda Indonesia,1724 MACOMB STREET,,Kokomo,HI,93927-7877,COL,MITCHELL FRIDMAN@Garuda Indonesia.COM,2065645951,MITCHELL FRIDMAN,GA,TFS-PFP,YQM,,FAKE241030,,,,,,,,,,,,,,
SIDNEY,,MERTHIE,IX,DINO,COURTNEY,HIBL,IV,04/21/1962,USA,OH,Alexandria,North Royalton county,M,B,288514713,BRO,BRO,33,981,6489 WHITE PINE,,Albany,IA,49243,ERI,236-265-5128,452-902-6934,6309245385,556-408-2827,(462)7806772,SIDNEY.MERTHIE1962@MQPJ.EDU,USA,,USA,5288307670,P,,,ROJB1LEE5K,,,,,,,,,Hooters Air,9556 SPANISH OAK HWY,,Lynn,TX,72295,NGA,CHRISTOPER FREDRICKS@Hooters Air.ORG,3793543577,CHRISTOPER FREDRICKS,AW,FPO,MSY,SIDNEY_MERTHIE_C0T4N6.eft,,K3FF5,10/24/2009,10/24/2010,RRK,Black,Food Court,True,True,False,True,False,True,R,Expired
KAM,,CHLADEK,,TAMERA,,GERDSEN,VII,04/26/1937,MAC,,,,F,B,495617035,BLK,BLU,57,1345,4770 PABLO CREEK HWY,ROOM 211,Hopkinsville,OH,63790,GRD,5928501082,(821)6649182,7646162558,(455)8937304,2455083232,KAM.CHLADEK1937@OEOS.GOV,ATF,,USA,4898533348,D,,,MUUXLNNFNF,,,A515274483,81042900718,,,,,Keyence,1456 COURIER RIDGE RD,SUITE 264,Hayward,NH,24930-2947,CMR,MARTIN LANDSBERRY@Keyence.EDU,(537)9404812,MARTIN LANDSBERRY,GA,DCM-FP,TAL,,,,,,,,,,,,,,,,
